,train_loss,test_loss,train_acc,test_acc,all_loss,logit_sign_rep_trace_similarity,logit_excluded_loss_sign_rep,logit_restricted_loss_sign_rep,logit_standard_rep_trace_similarity,logit_excluded_loss_standard_rep,logit_restricted_loss_standard_rep,logit_standard_sign_rep_trace_similarity,logit_excluded_loss_standard_sign_rep,logit_restricted_loss_standard_sign_rep,logit_s6_5d_a_rep_trace_similarity,logit_excluded_loss_s6_5d_a_rep,logit_restricted_loss_s6_5d_a_rep,logit_s6_5d_b_rep_trace_similarity,logit_excluded_loss_s6_5d_b_rep,logit_restricted_loss_s6_5d_b_rep,percent_logits_explained,total_logit_excluded_loss,total_logit_restricted_loss,epoch
15,6.531790183873977,6.674841098003234,0.002956211566925049,0.0006590792327187955,6.617620732351532,5.158232e-06,6.531791634122464,6.579249762595261,2.2214024e-05,6.531821387819786,6.579220002344181,2.4638208e-05,6.53182480036783,6.579216596483856,2.7187662e-05,6.531828378853763,6.579213014622467,3.052899e-05,6.5318330694622055,6.579208320214873,2.7982998e-09,6.5318330694622055,6.579208320214873,46
665,6.52977403588577,6.679318734073814,0.0030381944961845875,0.0006494341650977731,6.619500854798596,5.4237134e-06,6.529775593902694,6.579249650155168,2.3597524e-05,6.52980800667968,6.579217235366552,2.7013244e-05,6.529812926183075,6.579212317281195,2.9442355e-05,6.529816418229786,6.5792088197594865,3.211196e-05,6.529820264434016,6.5792049759615505,3.2140055e-09,6.529820264434016,6.5792049759615505,47
298,6.52773910913614,6.683654777331002,0.00308159738779068,0.0006301440298557281,6.621288510053057,5.5746605e-06,6.52774075146452,6.579249570381015,2.5163961e-05,6.527776153864557,6.579214160518504,2.9362069e-05,6.527782336367564,6.579207979220492,3.1906853e-05,6.52778607977848,6.57920423227641,3.392277e-05,6.527789051329412,6.579201264040661,3.6952343e-09,6.527789051329412,6.579201264040661,48
293,6.525684144580155,6.687878769419557,0.003086419776082039,0.0006590792327187955,6.623000919483796,5.54856e-06,6.525685813188283,6.579249543985476,2.6809954e-05,6.5257244331127255,6.579210913565625,3.1799853e-05,6.525731938604742,6.579203413183452,3.4492987e-05,6.525735987051509,6.579199365099742,3.59059e-05,6.525738105644104,6.579197241328513,4.2397907e-09,6.525738105644104,6.579197241328513,49
46,6.523610290818691,6.692008245347713,0.0031635803170502186,0.0006269289879128337,6.624649063536106,5.4753145e-06,6.523611965889908,6.579249534023229,2.8681563e-05,6.523654232790025,6.579207262674487,3.417448e-05,6.523662649483795,6.57919884577569,3.726061e-05,6.523667381949143,6.579194116846519,3.825021e-05,6.523668893868761,6.579192600460335,4.871938e-09,6.523668893868761,6.579192600460335,50
170,6.521522253672916,6.69603605951084,0.0031780479475855827,0.0006237140041776001,6.626230537175671,5.5030887e-06,6.521523973914486,6.579249495066682,3.086576e-05,6.521570400641258,6.579203061995425,3.66096e-05,6.521579352455866,6.5791941017270945,4.0239334e-05,6.5215850146304275,6.579188439419429,4.064775e-05,6.521585658084009,6.579187802301808,5.5946856e-09,6.521585658084009,6.579187802301808,51
174,6.519424977086211,6.700059769513065,0.0032889661379158497,0.0006204989622347057,6.627805852542324,5.8602946e-06,6.51942683254554,6.5792493517795725,3.3071992e-05,6.51947746007634,6.579198721880836,3.900547e-05,6.519486876206687,6.579189304586885,4.3250548e-05,6.5194936116970625,6.5791825670313475,4.3125165e-05,6.519493412532055,6.579182766035419,6.379916e-09,6.519493412532055,6.579182766035419,52
21,6.517321118508438,6.70409516338943,0.0033516590483486652,0.0005883487756364048,6.629385545437034,6.2124564e-06,6.517323124957694,6.579249206517632,3.5415746e-05,6.517378271601046,6.57919404782317,4.152237e-05,6.517388127060112,6.579184191202553,4.6319143e-05,6.517395870327385,6.57917644879077,4.568175e-05,6.517394838586982,6.579177477593426,7.249262e-09,6.517394838586982,6.579177477593426,53
289,6.51521194734901,6.708148715338864,0.0033661266788840294,0.0005883487756364048,6.630974008142923,6.6088833e-06,6.515214116229954,6.57924904318614,3.7767582e-05,6.5152739079113,6.579189241460793,4.4108834e-05,6.5152843127491336,6.579178836498325,4.955312e-05,6.515293240738744,6.57916990331606,4.8373913e-05,6.515291308677151,6.579171838197911,8.211204e-09,6.515291308677151,6.579171838197911,54
111,6.513098314138336,6.712298744954271,0.0034336422104388475,0.0005497685051523149,6.632618572627898,7.2175244e-06,6.513100721284634,6.579248804024823,4.014056e-05,6.513165262637519,6.579184251469156,4.686622e-05,6.5131764820120175,6.579173032069754,5.296342e-05,6.513186650697235,6.579162861027898,5.116741e-05,6.513183653725872,6.579165857045723,9.283028e-09,6.513183653725872,6.579165857045723,55
517,6.510980415316899,6.716546042408362,0.003462577238678932,0.0005529835470952094,6.6343197915717775,7.812912e-06,6.510983062207753,6.579248561784933,4.284359e-05,6.511053063519902,6.579178546952418,4.9600232e-05,6.511064525527659,6.5791670873333,5.6443412e-05,6.511076125337671,6.579155480956628,5.3976226e-05,6.511071949770768,6.579159665431421,1.0456089e-08,6.511071949770768,6.579159665431421,56
560,6.508857067992713,6.720869953716263,0.003520447760820389,0.0005336934118531644,6.636064799426843,8.2283e-06,6.50885990541958,6.579248374532993,4.557903e-05,6.5089356374590555,6.579172623824141,5.252505e-05,6.508947614024348,6.579160647383892,6.013664e-05,6.508960738320643,6.579147523382739,5.6679644e-05,6.5089547795672775,6.579153483983131,1.1733031e-08,6.5089547795672775,6.579153483983131,57
85,6.506724708195038,6.7252409804438535,0.0036168983206152916,0.0005465535214170814,6.637834471544328,8.788102e-06,6.506727788330299,6.579248131737961,4.8331007e-05,6.5068093901959365,6.5791665107664175,5.5732955e-05,6.5068223630847415,6.579153538698193,6.3933316e-05,6.506836736758312,6.579139167403447,5.943151e-05,6.506828841484893,6.579147056908303,1.3138853e-08,6.506828841484893,6.579147056908303,58
566,6.504578133625507,6.729583248867016,0.0036603009793907404,0.0005336934118531644,6.639581202770413,9.365034e-06,6.504581470272303,6.579247877809903,5.112e-05,6.504669114197317,6.579160211650121,5.924516e-05,6.504683576117949,6.579145747823647,6.783793e-05,6.504698869098181,6.579130451603467,6.219569e-05,6.504688834666569,6.579140495499798,1.4681236e-08,6.504688834666569,6.579140495499798,59
387,6.502416221841908,6.733897091006168,0.00373746152035892,0.0005433384794741869,6.641304743340465,9.757674e-06,6.5024197440888685,6.579247685244841,5.398698e-05,6.502513768499972,6.579153648091715,6.29239e-05,6.502529918333791,6.5791374975495,7.181168e-05,6.502545972570328,6.579121435820399,6.51864e-05,6.502534000552233,6.5791334088149895,1.6375408e-08,6.502534000552233,6.5791334088149895,60
633,6.500236545548187,6.738125333104115,0.003722993889823556,0.0005690586403943598,6.6429698180817445,1.0368625e-05,6.500240352265278,6.579247410558439,5.6938206e-05,6.500340896475364,6.579146835683735,6.685313e-05,6.500359068028044,6.57912866018418,7.573418e-05,6.500375344016455,6.579112379921163,6.822692e-05,6.5003615898815275,6.579126141827471,1.8209388e-08,6.5003615898815275,6.579126141827471,61
463,6.498040238442984,6.742325357698902,0.0038242670707404613,0.0005529835470952094,6.6446113099965345,1.0855121e-05,6.498044273459992,6.579247176880835,5.9923994e-05,6.498151592703071,6.579139835544261,7.082336e-05,6.498171840246411,6.57911957771069,7.965874e-05,6.498188264927976,6.579103156068038,7.148545e-05,6.498173073218582,6.579118347148922,2.0180352e-08,6.498173073218582,6.579118347148922,62
486,6.495830999549585,6.74655939372733,0.003886959981173277,0.0005336934118531644,6.646268036056233,1.2000078e-05,6.495835523247746,6.579246690253683,6.277833e-05,6.4959492496675875,6.579132934322769,7.4851305e-05,6.495971992297408,6.57911018826958,8.3580446e-05,6.495988438695825,6.579093742156969,7.488914e-05,6.49597206074204,6.57911011697993,2.2281911e-08,6.49597206074204,6.57911011697993,63
